"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1697","all expected top-level categories are present","webkit","2026-07-07","failed","2026-07-07","Navigation","regression/navigation.regression.spec.ts","",""
"","2010","home page loads with featured products","firefox","2026-07-07","failed","2026-07-07","Home","smoke/home.smoke.spec.ts","",""
"","31399","a new customer can register successfully","webkit","2026-07-07","failed","2026-07-07","Register","smoke/register.smoke.spec.ts","",""
"","4490","a new customer can register successfully","chromium","2026-07-07","passed","2026-07-07","Register","smoke/register.smoke.spec.ts","",""
"","2092","all expected top-level categories are present","firefox","2026-07-07","failed","2026-07-07","Navigation","regression/navigation.regression.spec.ts","",""
"","1250","guest can place an order end-to-end","firefox","2026-07-07","skipped","2026-07-07","Checkout","regression/checkout.regression.spec.ts","",""
"","4771","cart shows totals ready for checkout","chromium","2026-07-07","passed","2026-07-07","Cart management","regression/cart.regression.spec.ts","",""
"","207","a product can be added to and removed from the wishlist","webkit","2026-07-07","failed","2026-07-07","Wishlist","regression/wishlist.regression.spec.ts","",""
"","32270","a registered customer can log in","firefox","2026-07-07","failed","2026-07-07","Login","smoke/login.smoke.spec.ts","",""
"","31348","invalid credentials are rejected with a warning","webkit","2026-07-07","failed","2026-07-07","Login","smoke/login.smoke.spec.ts","",""
"","2397","nonsense search shows the no-results state","chromium","2026-07-07","passed","2026-07-07","Search","smoke/search.smoke.spec.ts","",""
"","32555","edit-account page is reachable when authenticated","firefox","2026-07-07","failed","2026-07-07","Account session","regression/account.regression.spec.ts","",""
"","32124","a product can be searched and added to the cart","firefox","2026-07-07","failed","2026-07-07","Cart","smoke/cart.smoke.spec.ts","",""
"","6425","removing the only product empties the cart","chromium","2026-07-07","passed","2026-07-07","Cart management","regression/cart.regression.spec.ts","",""
"","31575","edit-account page is reachable when authenticated","webkit","2026-07-07","failed","2026-07-07","Account session","regression/account.regression.spec.ts","",""
"","31373","nonsense search shows the no-results state","webkit","2026-07-07","failed","2026-07-07","Search","smoke/search.smoke.spec.ts","",""
"","32319","cart shows totals ready for checkout","firefox","2026-07-07","failed","2026-07-07","Cart management","regression/cart.regression.spec.ts","",""
"","32292","removing the only product empties the cart","firefox","2026-07-07","failed","2026-07-07","Cart management","regression/cart.regression.spec.ts","",""
"","2338","home page loads with featured products","chromium","2026-07-07","passed","2026-07-07","Home","smoke/home.smoke.spec.ts","",""
"","31438","cart shows totals ready for checkout","webkit","2026-07-07","failed","2026-07-07","Cart management","regression/cart.regression.spec.ts","",""
"","6704","a registered customer can log in","chromium","2026-07-07","passed","2026-07-07","Login","smoke/login.smoke.spec.ts","",""
"","2797","invalid credentials are rejected with a warning","chromium","2026-07-07","passed","2026-07-07","Login","smoke/login.smoke.spec.ts","",""
"","32169","opening a top-level category lands on its listing page","firefox","2026-07-07","failed","2026-07-07","Navigation","regression/navigation.regression.spec.ts","",""
"","32379","updating quantity keeps the product and re-renders totals","firefox","2026-07-07","failed","2026-07-07","Cart management","regression/cart.regression.spec.ts","",""
"","31592","a product can be searched and added to the cart","webkit","2026-07-07","failed","2026-07-07","Cart","smoke/cart.smoke.spec.ts","",""
"","2396","opening a top-level category lands on its listing page","chromium","2026-07-07","passed","2026-07-07","Navigation","regression/navigation.regression.spec.ts","",""
"","2554","all expected top-level categories are present","chromium","2026-07-07","passed","2026-07-07","Navigation","regression/navigation.regression.spec.ts","",""
"","31346","opening a top-level category lands on its listing page","webkit","2026-07-07","failed","2026-07-07","Navigation","regression/navigation.regression.spec.ts","",""
"","444","guest can place an order end-to-end","webkit","2026-07-07","skipped","2026-07-07","Checkout","regression/checkout.regression.spec.ts","",""
"","32339","switching currency updates the product price symbol","firefox","2026-07-07","failed","2026-07-07","Currency","regression/currency.regression.spec.ts","",""
"","31607","a registered user reaches the dashboard and can log out","webkit","2026-07-07","failed","2026-07-07","Account session","regression/account.regression.spec.ts","",""
"","232","guest can place an order end-to-end","chromium","2026-07-07","skipped","2026-07-07","Checkout","regression/checkout.regression.spec.ts","",""
"","31353","mismatched password confirmation is rejected","webkit","2026-07-07","failed","2026-07-07","Registration validation","regression/register.negative.regression.spec.ts","",""
"","31416","a registered customer can log in","webkit","2026-07-07","failed","2026-07-07","Login","smoke/login.smoke.spec.ts","",""
"","31755","switching currency updates the product price symbol","webkit","2026-07-07","failed","2026-07-07","Currency","regression/currency.regression.spec.ts","",""
"","31498","removing the only product empties the cart","webkit","2026-07-07","failed","2026-07-07","Cart management","regression/cart.regression.spec.ts","",""
"","32180","registering with an already-used email is rejected","firefox","2026-07-07","failed","2026-07-07","Registration validation","regression/register.negative.regression.spec.ts","",""
"","6174","updating quantity keeps the product and re-renders totals","chromium","2026-07-07","passed","2026-07-07","Cart management","regression/cart.regression.spec.ts","",""
"","7533","a registered user reaches the dashboard and can log out","chromium","2026-07-07","passed","2026-07-07","Account session","regression/account.regression.spec.ts","",""
"","32189","a new customer can register successfully","firefox","2026-07-07","failed","2026-07-07","Register","smoke/register.smoke.spec.ts","",""
"","36","a product can be added to and removed from the wishlist","firefox","2026-07-07","failed","2026-07-07","Wishlist","regression/wishlist.regression.spec.ts","",""
"","32110","mismatched password confirmation is rejected","firefox","2026-07-07","failed","2026-07-07","Registration validation","regression/register.negative.regression.spec.ts","",""
"","3094","mismatched password confirmation is rejected","chromium","2026-07-07","passed","2026-07-07","Registration validation","regression/register.negative.regression.spec.ts","",""
"","2612","valid search returns matching products","chromium","2026-07-07","passed","2026-07-07","Search","smoke/search.smoke.spec.ts","",""
"","31490","updating quantity keeps the product and re-renders totals","webkit","2026-07-07","failed","2026-07-07","Cart management","regression/cart.regression.spec.ts","",""
"","1386","home page loads with featured products","webkit","2026-07-07","failed","2026-07-07","Home","smoke/home.smoke.spec.ts","",""
"","7176","edit-account page is reachable when authenticated","chromium","2026-07-07","passed","2026-07-07","Account session","regression/account.regression.spec.ts","",""
"","4638","a product can be added to and removed from the wishlist","chromium","2026-07-07","passed","2026-07-07","Wishlist","regression/wishlist.regression.spec.ts","",""
